source,target,tgt_lng
"中立ラウンド","野怪回合","zh-CN"
"PvE","野怪回合","zh-CN"
"PvP","玩家对战回合","zh-CN"
"ゴールド","金币","zh-CN"
"金策","经济","zh-CN"
"エコノミー","经济","zh-CN"
"利子","利息","zh-CN"
"連勝","连胜","zh-CN"
"連敗","连败","zh-CN"
"ストリーク","连胜/连败","zh-CN"
"オープンフォート","空城","zh-CN"
"体力","生命值","zh-CN"
"HP","生命值","zh-CN"
"最大体力","最大生命值","zh-CN"
"ダメージ","伤害","zh-CN"
"物理ダメージ","物理伤害","zh-CN"
"魔法ダメージ","魔法伤害","zh-CN"
"確定ダメージ","真实伤害","zh-CN"
"耐久力","伤害减免","zh-CN"
"物理防御","护甲","zh-CN"
"物理防御力","护甲","zh-CN"
"アーマー","护甲","zh-CN"
"魔法防御","魔法抗性","zh-CN"
"魔法防御力","魔法抗性","zh-CN"
"魔法耐性","魔法抗性","zh-CN"
"MR","魔法抗性","zh-CN"
"攻撃力","攻击力","zh-CN"
"AD","攻击力","zh-CN"
"魔力","法术强度","zh-CN"
"AP","法术强度","zh-CN"
"攻撃速度","攻击速度","zh-CN"
"AS","攻击速度","zh-CN"
"マナ","法力值","zh-CN"
"クリティカル","暴击","zh-CN"
"シールド","护盾","zh-CN"
"回復","治疗","zh-CN"
"回復阻害","重伤","zh-CN"
"重傷","重伤","zh-CN"
"炎上","灼烧","zh-CN"
"シュレッド","魔抗击碎","zh-CN"
"サンダー","护甲击碎","zh-CN"
"行動妨害","控制","zh-CN"
"CC","控制","zh-CN"
"タンク","坦克","zh-CN"
"キャリー","主C","zh-CN"
"サブキャリー","副C","zh-CN"
"前衛","前排","zh-CN"
"後衛","后排","zh-CN"
"近接","近战","zh-CN"
"遠距離","远程","zh-CN"
"キャスター","法系输出","zh-CN"
"ファイター","战士","zh-CN"
"マークスマン","射手","zh-CN"
"配置","站位","zh-CN"
"ポジショニング","站位","zh-CN"
"角","角落","zh-CN"
"固める","抱团","zh-CN"
"散開","分散站位","zh-CN"
"偵察","观察对手","zh-CN"
"ベンチ","备战席","zh-CN"
"ショップ","商店","zh-CN"
"プール","牌池","zh-CN"
"確率","概率","zh-CN"
"競合","同行","zh-CN"
"競合あり","被同行卡牌","zh-CN"
"競合なし","没人同行","zh-CN"
"引く","搜到关键牌","zh-CN"
"2スター","二星","zh-CN"
"3スター","三星","zh-CN"
"1コスト","1费","zh-CN"
"2コスト","2费","zh-CN"
"3コスト","3费","zh-CN"
"4コスト","4费","zh-CN"
"5コスト","5费","zh-CN"
"特性","羁绊","zh-CN"
"シナジー","羁绊","zh-CN"
"縦伸ばし","高羁绊","zh-CN"
"スプラッシュ","外挂羁绊","zh-CN"
"ブレイクポイント","羁绊档位","zh-CN"
"解放","解锁","zh-CN"
"DPS","持续输出","zh-CN"
"バースト","爆发","zh-CN"
"ユーティリティ","功能性","zh-CN"
"価値","价值","zh-CN"
"ハイロール","天胡","zh-CN"
"ローロール","低roll","zh-CN"
"トップ4","前四","zh-CN"
"1位","吃鸡","zh-CN"
"エイトロックス","亚托克斯","zh-CN"
"ステラスラッシュ","星界斩击","zh-CN"
"アカリ","阿卡丽","zh-CN"
"スターストライク","群星打击","zh-CN"
"オレリオン・ソル","奥瑞利安·索尔","zh-CN"
"デスビーム","死亡射线","zh-CN"
"オーロラ","阿萝拉","zh-CN"
"ホップアップ ハック","跃升黑客攻击","zh-CN"
"バード","巴德","zh-CN"
"ウルトラフレンドリーオブジェクト","超友好飞碟","zh-CN"
"ベル＝ヴェス","卑尔维斯","zh-CN"
"タイダルスラッシュ","潮汐连斩","zh-CN"
"ブリッツクランク","布里茨","zh-CN"
"パーティークラッシャー","派对破坏王","zh-CN"
"ブライアー","贝蕾亚","zh-CN"
"フィッシュフレンジー","鱼群狂欢","zh-CN"
"ケイトリン","凯特琳","zh-CN"
"頭を狙え","瞄准脑袋","zh-CN"
"チョ＝ガス","科加斯","zh-CN"
"アクリーション","积聚","zh-CN"
"コーキ","库奇","zh-CN"
"アステロイドブラスター","小行星魔炮","zh-CN"
"ダイアナ","黛安娜","zh-CN"
"朧月の羽衣","苍白之瀑","zh-CN"
"エズリアル","伊泽瑞尔","zh-CN"
"時空弾","时空射击","zh-CN"
"フィオラ","菲奥娜","zh-CN"
"パーフェクトブレードワーク","完美剑技","zh-CN"
"フィズ","菲兹","zh-CN"
"ミィプベイト","木灵诱饵","zh-CN"
"マイティーロボ","超级机甲","zh-CN"
"グラビティマトリックス","引力矩阵","zh-CN"
"ナー","纳尔","zh-CN"
"スリングショットマニューバ","弹弓机动","zh-CN"
"グラガス","古拉加斯","zh-CN"
"ケミカルレイジ","化学狂怒","zh-CN"
"グレイブス","格雷福斯","zh-CN"
"コラテラルダメージ","终极爆弹","zh-CN"
"グウェン","格温","zh-CN"
"ダンス & ダイス","舞出机运","zh-CN"
"イラオイ","俄洛伊","zh-CN"
"魂の試練","灵魂试炼","zh-CN"
"ミィプシー","小木灵","zh-CN"
"ミィプインパクト","木灵冲击","zh-CN"
"ジャックス","贾克斯","zh-CN"
"カウンタースターライク","反星打击","zh-CN"
"ジン","烬","zh-CN"
"スペースオペラ","太空歌剧","zh-CN"
"ジンクス","金克丝","zh-CN"
"爆発気質","易爆态势","zh-CN"
"カイ＝サ","卡莎","zh-CN"
"バレットクラスター","子弹星团","zh-CN"
"カルマ","卡尔玛","zh-CN"
"特異点","奇点","zh-CN"
"キンドレッド","千珏","zh-CN"
"コズミックパスート","星界追寻","zh-CN"
"ルブラン","乐芙兰","zh-CN"
"砕かれた現実","破碎实界","zh-CN"
"レオナ","蕾欧娜","zh-CN"
"シールド・オブ・デイブレイク","破晓之盾","zh-CN"
"リサンドラ","丽桑卓","zh-CN"
"ダークマター","黑暗物质","zh-CN"
"ルル","璐璐","zh-CN"
"星の雨だ","繁星雨！","zh-CN"
"マオカイ","茂凯","zh-CN"
"融合の掌握","聚合之握","zh-CN"
"マスター・イー","易","zh-CN"
"掌握","灵能打击","zh-CN"
"ミリオ","米利欧","zh-CN"
"メガタイムキック","百万时间飞踢！","zh-CN"
"ミス・フォーチュン","厄运小姐","zh-CN"
"銃装機神アーセナル","武装战姬武库","zh-CN"
"モルデカイザー","莫德凯撒","zh-CN"
"不滅の鎧","不坏之身","zh-CN"
"モルガナ","莫甘娜","zh-CN"
"闇の形態","黑暗形态","zh-CN"
"ナミ","娜美","zh-CN"
"バブルポップ","泡泡弹跳","zh-CN"
"ナサス","内瑟斯","zh-CN"
"グルーヴィースーザン","律动苏珊","zh-CN"
"ヌヌ & ウィルンプ","努努和威朗普","zh-CN"
"災厄","祸患","zh-CN"
"オーン","奥恩","zh-CN"
"ディスコインフェルノ","迪斯科炼狱","zh-CN"
"パンテオン","潘森","zh-CN"
"上級防御","先进防御","zh-CN"
"ポッピー","波比","zh-CN"
"集まれ！","蜷缩起来！","zh-CN"
"パイク","派克","zh-CN"
"死の印","死亡标记","zh-CN"
"ラムス","拉莫斯","zh-CN"
"重力スピン","引力旋转","zh-CN"
"レク＝サイ","雷克塞","zh-CN"
"大地の怒り","地壳隆起","zh-CN"
"ラースト","拉亚斯特","zh-CN"
"聖なる大鎌","神圣镰刃","zh-CN"
"リヴェン","锐雯","zh-CN"
"タイムワープ","时光发条","zh-CN"
"サミーラ","莎弥拉","zh-CN"
"ジャンプ＆ジャイブ","蹦跳摇摆","zh-CN"
"シェン","慎","zh-CN"
"リアリティーテア","实界撕裂","zh-CN"
"ソナ","娑娜","zh-CN"
"サイオニック クラッシュ","灵能碾压","zh-CN"
"ビア & バイン","羊咩咩 & 咩咩羊","zh-CN"
"ギャォォン","尖啸","zh-CN"
"タム・ケンチ","塔姆","zh-CN"
"味見","巨舌鞭笞","zh-CN"
"タロン","泰隆","zh-CN"
"預言者の審判","圣神审判","zh-CN"
"ティーモ","提莫","zh-CN"
"ダブルタイム","双倍时间","zh-CN"
"ツイステッド・フェイト","崔斯特","zh-CN"
"運命の策略","命运的断言","zh-CN"
"アーゴット","厄加特","zh-CN"
"無敵の弩級戦艦","不可阻挡的无畏战车","zh-CN"
"ベイガー","维迦","zh-CN"
"ミィプ流星雨","木灵流星雨","zh-CN"
"ヴェックス","薇古丝","zh-CN"
"影よ、力を貸せ！","帮我一手，黑影！","zh-CN"
"ビクター","维克托","zh-CN"
"サイオニック ストーム","灵能风暴","zh-CN"
"ザヤ","霞","zh-CN"
"まばゆき跳弾","星界弹射","zh-CN"
"ゼド","劫","zh-CN"
"量子クローン","量子克隆","zh-CN"
"ゾーイ","佐伊","zh-CN"
"パドルスター","飞星乱入！","zh-CN"
"N.O.V.A.","新星特攻队","zh-CN"
"アービター","法官","zh-CN"
"アニマ","幻灵战队","zh-CN"
"ヴァンガード","重装战士","zh-CN"
"ギャラクシー ハンター","天煞","zh-CN"
"コマンダー","最高指挥官","zh-CN"
"コンジット","神谕","zh-CN"
"サイオニック","灵能特工","zh-CN"
"スナイパー","狙神","zh-CN"
"スペースグルーヴ","太空律动","zh-CN"
"ダークスター","暗星","zh-CN"
"タイムブレーカー","未来战士","zh-CN"
"チャレンジャー","挑战者","zh-CN"
"ドゥーマー","末日使者","zh-CN"
"パーティーアニマル","汪星机器人","zh-CN"
"バスティオン","堡垒卫士","zh-CN"
"ファクトリー ニュー","军工1号","zh-CN"
"フェイトウィーバー","织命人","zh-CN"
"プライモーディアン","海魔人","zh-CN"
"ブルワーク","暮光铁壁","zh-CN"
"ブローラー","斗士","zh-CN"
"ボイジャー","旅人","zh-CN"
"ミィプル","木灵族","zh-CN"
"メカ","霸天机甲","zh-CN"
"レプリケーター","魔术师","zh-CN"
"ローグ","游侠","zh-CN"
"闇の女帝","黑暗魔女","zh-CN"
"救済者","救世主","zh-CN"
"根絶者","灭星尊","zh-CN"
"銃装機神","武装战姬","zh-CN"
"神託","命运祭司","zh-CN"
"星の観測者","观星者","zh-CN"
"聖なる決闘者","斗神","zh-CN"
"導き手","牧羊人","zh-CN"
"略奪者","狂战士","zh-CN"
"アーリの恩恵","阿狸的恩赐","zh-CN"
"オレリオン・ソルの恩恵","奥瑞利安·索尔的恩赐","zh-CN"
"再起の呪印","复活恩赐","zh-CN"
"対人戦を?回行った後、固有特性以外の特性がすべて1増加する。","在?场玩家对战回合后，使你的所有非独特羁绊+1。","zh-CN"
"対人戦を?回行った後、「完成アイテムの金床」を1個と?ゴールドを獲得する。","在?场玩家对战回合后，获得1个【成装锻造器】和?金币。","zh-CN"
"味方チームの攻撃力と魔力が15増加する。","你的队伍获得15物理加成和法术加成。","zh-CN"
"エコーの恩恵","艾克的恩赐","zh-CN"
"イブリンの恩恵","伊芙琳的恩赐","zh-CN"
"血の価値","猩红报偿","zh-CN"
"ケイルの恩恵","凯尔的恩赐","zh-CN"
"スクラッパーの恩恵","斗神的恩赐","zh-CN"
"ソラカの恩恵","索拉卡的恩赐","zh-CN"
"スレッシュの恩恵","锤石的恩赐","zh-CN"
"ヴァルスの恩恵","韦鲁斯的恩赐","zh-CN"
"ヤスオのゴールドのマス","亚索的黄金格","zh-CN"
"ヤスオのスポットライトをシェア","亚索的共享聚光灯","zh-CN"
"ヤスオの恩恵","亚索的恩赐","zh-CN"
"有効活用 I","有用之材 I","zh-CN"
"昼食代","午餐钱","zh-CN"
"ステラコンボ","星界连招","zh-CN"
"ボカッ！","邦！","zh-CN"
"ターミィプナル ヴェロシティー","飙速木灵","zh-CN"
"エグザイル I","浪人 I","zh-CN"
"一致団結","联合作战","zh-CN"
"放電 I","电火花 I","zh-CN"
"アイテム福袋","装备百宝袋","zh-CN"
"即席アーマー I","应急护甲 I","zh-CN"
"ワン、ツー、ファイブ！","一，二，五！","zh-CN"
"パンドラのアイテム","潘朵拉的装备","zh-CN"
"混乱回復装置","变形重组器","zh-CN"
"起死回生","复苏之风","zh-CN"
"小さな巨人","小巨人","zh-CN"
"AFK","开摆","zh-CN"
"盗賊団","窃贼帮派","zh-CN"
"ベストフレンド I","最佳好友 I","zh-CN"
"レイトゲーム スペシャリスト","后期专家","zh-CN"
"チーム構築","团队建设","zh-CN"
"庇護者のお供","游神的盟友","zh-CN"
"不完全アセンション","部分飞升","zh-CN"
"ローリングデイズ I","D个痛快！ I","zh-CN"
"ヒーリングオーブ I","治疗法球 I","zh-CN"
"カナとカネ","黑铁资产","zh-CN"
"未来の鍛冶場","休眠锻炉","zh-CN"
"ミスコネクション","别再错过","zh-CN"
"一 二 三","一，二，三","zh-CN"
"命懸けの戦い","冒险举动","zh-CN"
"銀の匙","银汤匙","zh-CN"
"ボクシングのレッスン","拳击课程","zh-CN"
"構成拡大","节外生枝","zh-CN"
"構成拡大+","节外生枝+","zh-CN"
"チャージトランスファー I","充能转移 I","zh-CN"
"はしごを登れ I","攀登天梯 I","zh-CN"
"コグニティブ タックス","认知税","zh-CN"
"コグニティブ タックス+","认知税+","zh-CN"
"追加のバックル","战时补给：巨人腰带","zh-CN"
"援護の弓","战时补给：反曲之弓","zh-CN"
"クリティカル サクセス","战时补给：拳套","zh-CN"
"連続魔法","战时补给：无用大棒","zh-CN"
"道を切り拓け","战时补给：暴风大剑","zh-CN"
"流れる涙","战时补给：女神之泪","zh-CN"
"腐食","腐蚀","zh-CN"
"巧みなクラフト","精心打造","zh-CN"
"吸血の胆力 I","吸血生命力 I","zh-CN"
"ダミー化","假人化","zh-CN"
"エクスペディション","远征","zh-CN"
"ツイてる気分","手气不错","zh-CN"
"ここがセンター","C位的觉悟","zh-CN"
"ファイアセール","火爆甩卖","zh-CN"
"友を鍛える","锻造挚友","zh-CN"
"グラスキャノン I","玻璃大炮 I","zh-CN"
"みんなでハグ I","拥抱 I","zh-CN"
"キックスタート","博弈开启","zh-CN"
"ラインナップ","列队","zh-CN"
"ちょっとだけ魔法のダイス","轻量魔法投掷","zh-CN"
"集中砲火","集中火力","zh-CN"
"忍耐の美徳","耐心是一种美德","zh-CN"
"オーグメントパワー","强化之能量","zh-CN"
"ミッションの再開","重启任务","zh-CN"
"サイズが大事","尺寸至上","zh-CN"
"普通の日々","人生切片","zh-CN"
"小さな福袋","小小福袋","zh-CN"
"サバイバー","幸存者","zh-CN"
"ザ・タワー","高塔","zh-CN"
"ツインガーディアン","双子守护神","zh-CN"
"絶好調","升星之运","zh-CN"
"衝突試験用ダミー","碰撞测试假人","zh-CN"
"英雄のラッキーバッグ","英勇福袋","zh-CN"
"小さな仲間たち","小伙伴","zh-CN"
"エポック","新纪元","zh-CN"
"エポック+","新纪元+","zh-CN"
"プロボクサー","赏金战士","zh-CN"
"最強の四配者","四费增援","zh-CN"
"叩きつけ","物尽其用","zh-CN"
"叩きつけ+","物尽其用+","zh-CN"
"U.R.F.","厨神阿福","zh-CN"
"アニマ司令官","幻灵指挥官","zh-CN"
"神の鍛冶場","神赐锻炉","zh-CN"
"侵略者ゼド","天煞灭影：劫","zh-CN"
"ビッグバン","宇宙大爆炸","zh-CN"
"星を目指して","摘星之志","zh-CN"
"プロの殺し屋","职业杀手","zh-CN"
"戦略的敗北","存心失利","zh-CN"
"明鏡止水","清晰头脑","zh-CN"
"サイバネティック インプラント","源计划植入","zh-CN"
"サイバネティック アップリンク","源计划上行链路","zh-CN"
"エグザイル II","浪人 II","zh-CN"
"放電 II","电火花 II","zh-CN"
"ハスラー","花到上头","zh-CN"
"即席アーマー II","应急护甲 II","zh-CN"
"ポータブル フォージ","便携锻炉","zh-CN"
"回収箱","打捞桶","zh-CN"
"起死回生 II","复苏之风 II","zh-CN"
"サンファイア ボード","日炎棋盘","zh-CN"
"トレードセクター","DD街区","zh-CN"
"ベストフレンド II","最佳好友 II","zh-CN"
"乱れる思考","纷乱头脑","zh-CN"
"パンドラのベンチ","潘朵拉的备战席","zh-CN"
"回収箱+","打捞桶+","zh-CN"
"大きな福袋","大百宝袋","zh-CN"
"アセンション","飞升","zh-CN"
"ヒーリングオーブ II","治疗法球 II","zh-CN"
"ジュエル ロータス I","珠光莲花 I","zh-CN"
"研究熱心","耐心学习","zh-CN"
"パンドラのアイテム II","潘朵拉的装备 II","zh-CN"
"ステータスマシマシ","成吨的属性！","zh-CN"
"弓の誓い","吾弓听命于您","zh-CN"
"前借り","高级贷款","zh-CN"
"前借り+","高级贷款+","zh-CN"
"Arcane ビクタリー","双城赢家","zh-CN"
"オーラ育成中","低调炫耀","zh-CN"
"後衛の設計図","后排蓝图","zh-CN"
"バースデー リユニオン","生日聚会","zh-CN"
"ボディーガードの訓練","利落保镖","zh-CN"
"ブースターパック","扩展包","zh-CN"
"ブースターパック+","扩展包+","zh-CN"
"ブースターパック++","扩展包++","zh-CN"
"生涯ブロンズ I","终身黄铜 I","zh-CN"
"チャージトランスファー II","充能转移 II","zh-CN"
"はしごを登れ II","攀登天梯 II","zh-CN"
"時計仕掛けの加速装置","发条增速器","zh-CN"
"コグニティブ オーバーロード","认知过载","zh-CN"
"コンパニオン作成","挑个好伙计！","zh-CN"
"宇宙の再起","星界重启","zh-CN"
"好きなだけ泣くがいい","泪流成河","zh-CN"
"吸血の胆力 II","吸血生命力 II","zh-CN"
"デュオキュー","双排","zh-CN"
"早期教育","宝宝学院","zh-CN"
"エピックなロールダウン","8级D干的传说","zh-CN"
"限定カスタマイズ","专属定制","zh-CN"
"爆発的成長","爆炸式增长","zh-CN"
"爆発的成長+","爆炸式增长+","zh-CN"
"炎を強めて","火上浇油","zh-CN"
"杖鍛冶","杖之工匠","zh-CN"
"剣鍛冶","剑之工匠","zh-CN"
"先見性","前瞻思维","zh-CN"
"前衛の礎","前线地基","zh-CN"
"カフナフナ","秘传奥义","zh-CN"
"21ゴールド獲得","获得21金币","zh-CN"
"金ピカの鋼","镀金钢铁","zh-CN"
"グラスキャノン II","玻璃大炮 II","zh-CN"
"みんなでハグ II","拥抱 II","zh-CN"
"メイスの決意","权杖意志","zh-CN"
"王冠とは重きもの","王冠之重","zh-CN"
"英雄のラッキーバッグ+","英勇福袋+","zh-CN"
"英雄のラッキーバッグ++","英勇福袋++","zh-CN"
"高電圧","高压电","zh-CN"
"仕送り","关爱包裹","zh-CN"
"インフィニティの守護","三相庇护","zh-CN"
"一人前プレート","单身板甲","zh-CN"
"リデンプションの魂","救赎盔甲","zh-CN"
"無差別殺人者","无差别攻击","zh-CN"
"レイトゲーム スケーリング","后期收益","zh-CN"
"3の軍団","三幻神","zh-CN"
"魔法のダイス","魔法投掷","zh-CN"
"マックスビルド","顶尖构筑","zh-CN"
"フォーが共にあらんことを","愿四费与你同在","zh-CN"
"邪悪な収益化","恶意货币化","zh-CN"
"不適合者","异类","zh-CN"
"金に飢えし者","贪财","zh-CN"
"偵察なし、変更なし","不侦察，不变阵","zh-CN"
"窃盗","挖角","zh-CN"
"主人公補正","应急护盾","zh-CN"
"複製","反响","zh-CN"
"普通預金口座","储蓄账户","zh-CN"
"セラフィムの杖","炽天使之拥","zh-CN"
"副作用","副作用","zh-CN"
"俺だけレベルアップ","独自升级","zh-CN"
"高速ダブルキル","一波带走俩","zh-CN"
"広がる根","蔓延之根","zh-CN"
"広がる根+","蔓延之根+","zh-CN"
"血の供物","鲜血祭品","zh-CN"
"黄金の龍","金霖龙","zh-CN"
"紡がれし魔法","纺织魔法","zh-CN"
"ソーンプレートアーマー","棘刺镀板铠甲","zh-CN"
"宝探し","寻宝","zh-CN"
"トライフェクタ I","三项赛 I","zh-CN"
"お得な2","由二生D","zh-CN"
"2体のタンク","坦度成双","zh-CN"
"ウォーロードの名誉","猛将的荣耀","zh-CN"
"アーフの策略","海牛阿福的锅铲战术","zh-CN"
"鋼の心","心之钢","zh-CN"
"出陣","征战之路","zh-CN"
"待つ価値あり","值得等待","zh-CN"
"思惑買い","遥遥领先","zh-CN"
"代償","不计代价","zh-CN"
"仲間を作ろう","来个好伙计","zh-CN"
"混沌への呼び声","混沌召唤","zh-CN"
"小さくても強烈","小而致命","zh-CN"
"盗賊団 II","窃贼帮派 II","zh-CN"
"盗賊団 II+","窃贼帮派 II+","zh-CN"
"盗賊団 II++","窃贼帮派 II++","zh-CN"
"新兵","新人入队","zh-CN"
"プリズムチケット","棱彩门票","zh-CN"
"レベルアップ！","升级咯！","zh-CN"
"金のタマゴ","金蛋","zh-CN"
"賢い買い物","明智消费","zh-CN"
"コマース コア","贸易中心","zh-CN"
"バースデープレゼント","生日礼物","zh-CN"
"カースドのクラウン","诅咒冠冕","zh-CN"
"歩く鍛冶場","活体锻炉","zh-CN"
"ラッキーグローブ","幸运手套","zh-CN"
"ラッキーグローブ+","幸运手套+","zh-CN"
"アーフの福袋","阿福的百宝袋","zh-CN"
"埋もれた宝物","珍藏财宝","zh-CN"
"ジュエル ロータス II","珠光莲花 II","zh-CN"
"ヘッジファンド","对冲基金","zh-CN"
"ヘッジファンド+","对冲基金+","zh-CN"
"買い物三昧","大买特买","zh-CN"
"パンドラのアイテム III","潘朵拉的装备 III","zh-CN"
"輝く悪党","光明无赖","zh-CN"
"もっと小さな巨人","最小巨人","zh-CN"
"崇高の冒険","崇高冒险","zh-CN"
"ソウルの目覚め","灵魂唤醒","zh-CN"
"ベルト オーバーフロー","腰带溢流","zh-CN"
"生涯ブロンズ II","终身黄铜 II","zh-CN"
"逆転劇","绝境反击","zh-CN"
"もっと怖いキャップ","更要命的帽子","zh-CN"
"限定カスタマイズ II","专属定制 II","zh-CN"
"想定内の意外性","意料之中的意外","zh-CN"
"柔軟性","灵活摇摆","zh-CN"
"力に鍛えられしもの","神力天铸","zh-CN"
"ジャイアント&マイティ","大而有力","zh-CN"
"黄金の博打","黄金赌约","zh-CN"
"黄金の博打+","黄金赌约+","zh-CN"
"黄金の博打++","黄金赌约++","zh-CN"
"全身全霊","硬性承诺","zh-CN"
"前線維持","坚守防线","zh-CN"
"投資完了+","投资+","zh-CN"
"投資完了++","投资++","zh-CN"
"ジャストヒット","点击即送","zh-CN"
"豪華なサブスク","奢侈品订购","zh-CN"
"ミニマックス","可大可小","zh-CN"
"金のモンスーン","摇钱树","zh-CN"
"素材アイテムヘイスト","散件丰收日","zh-CN"
"バフが1つ、バフが2つ","1个霸符，2个霸符","zh-CN"
"報復","正义报复","zh-CN"
"シマースケールのエッセンス","金鳞精粹","zh-CN"
"サブスクリプション","订阅服务","zh-CN"
"甘いおやつ","甜点","zh-CN"
"ソード オーバーフロー","大剑溢流","zh-CN"
"タクティシャンの台所","锅铲厨房","zh-CN"
"バロンの巣","男爵幻域","zh-CN"
"デッドリアー ブレード","更要命的战刃","zh-CN"
"特性の木","羁绊树","zh-CN"
"特性の木+","羁绊树+","zh-CN"
"トライフェクタ II","三项赛 II","zh-CN"
"上方移動","上进心","zh-CN"
"ワンド オーバーフロー","法杖溢流","zh-CN"
"いつでも一緒","水乳交融","zh-CN"
"勝ち抜け","登上最高峰","zh-CN"
"待つ価値あり II","值得等待 II","zh-CN"
"アークエンジェル スタッフ","大天使之杖","zh-CN"
"アイオニック スパーク","离子火花","zh-CN"
"アダプティブ ヘルム","适应性头盔","zh-CN"
"イーブンシュラウド","薄暮法袍","zh-CN"
"インフィニティ エッジ","无尽之刃","zh-CN"
"ヴォイド スタッフ","虚空之杖","zh-CN"
"ガーゴイル ストーンプレート","石像鬼石板甲","zh-CN"
"クイックシルバー","水银","zh-CN"
"グインソー レイジブレード","鬼索的狂暴之刃","zh-CN"
"クラーケンの怒り","海妖之怒","zh-CN"
"クラウンガード","冕卫","zh-CN"
"サンファイア ケープ","日炎斗篷","zh-CN"
"ジャイアント スレイヤー","巨人杀手","zh-CN"
"ジュエル ガントレット","珠光护手","zh-CN"
"ショウジンの矛","朔极之矛","zh-CN"
"ステラックの篭手","斯特拉克的挑战护手","zh-CN"
"ストライカー フレイル","强袭者的链枷","zh-CN"
"スピリット ビサージュ","振奋盔甲","zh-CN"
"デスブレード","死亡之刃","zh-CN"
"ドラゴン クロウ","巨龙之爪","zh-CN"
"ナイト エッジ","夜之锋刃","zh-CN"
"ナッシャー トゥース","纳什之牙","zh-CN"
"ハンド オブ ジャスティス","正义之手","zh-CN"
"ブラッドサースター","饮血剑","zh-CN"
"ブランブル ベスト","棘刺背心","zh-CN"
"ブルーバフ","蓝霸符","zh-CN"
"プロテクターの誓い","圣盾使的誓约","zh-CN"
"ヘクステック ガンブレード","海克斯科技枪刃","zh-CN"
"モレロノミコン","莫雷洛秘典","zh-CN"
"ラスト ウィスパー","最后的轻语","zh-CN"
"ラバドン デスキャップ","灭世者的死亡之帽","zh-CN"
"レッドバフ","红霸符","zh-CN"
"ワーモグ アーマー","狂徒铠甲","zh-CN"
"巨人の誓い","泰坦的坚决","zh-CN"
"揺るがぬ心","坚定之心","zh-CN"
"盗賊のグローブ","窃贼手套","zh-CN"
"N.O.V.A.の紋章","新星特攻队纹章","zh-CN"
"アービターの紋章","法官纹章","zh-CN"
"アニマの紋章","幻灵战队纹章","zh-CN"
"ヴァンガードの紋章","重装战士纹章","zh-CN"
"サイオニックの紋章","灵能特工纹章","zh-CN"
"スナイパーの紋章","狙神纹章","zh-CN"
"スペースグルーヴの紋章","太空律动纹章","zh-CN"
"ダークスターの紋章","暗星纹章","zh-CN"
"タイムブレーカーの紋章","未来战士纹章","zh-CN"
"チャレンジャーの紋章","挑战者纹章","zh-CN"
"バスティオンの紋章","堡垒卫士纹章","zh-CN"
"プライモーディアンの紋章","海魔人纹章","zh-CN"
"ブローラーの紋章","斗士纹章","zh-CN"
"ボイジャーの紋章","旅人纹章","zh-CN"
"ミィプルの紋章","木灵族纹章","zh-CN"
"ローグの紋章","游侠纹章","zh-CN"
"導き手の紋章","牧羊人纹章","zh-CN"
"星の観測者の紋章","观星者纹章","zh-CN"
"略奪者の紋章","狂战士纹章","zh-CN"
"OwO ブラスター","OwO魔爆炮","zh-CN"
"UwU ブラスター","UwU魔爆炮","zh-CN"
"アイスブラスト アーマー","冰爆护甲","zh-CN"
